FACILITY_ID,FAC_CHANNEL,COUNTRY,TOWER_ID,SERVICE_POPULATION,
179322,40,CA                  ,40386,                  ,
179323,49,CA                  ,40380,                  ,
179324,48,CA                  ,40260,                  ,
179325,13,CA                  ,40138,                  ,
179326,34,CA                  ,40138,                  ,
179327,32,CA                  ,40043,                  ,
179328,40,CA                  ,40043,                  ,
179329,23,CA                  ,40228,                  ,
179330,12,CA                  ,40135,                  ,
179331,51,CA                  ,40135,                  ,
179332,24,CA                  ,40204,                  ,
179333,31,CA                  ,40204,                  ,
179334,33,CA                  ,40204,                  ,
179335,34,CA                  ,40204,                  ,
179336,39,CA                  ,40204,                  ,
179337,41,CA                  ,40204,                  ,
179338,46,CA                  ,40204,                  ,
179339,4,CA                  ,40342,                  ,
179340,34,CA                  ,40342,                  ,
179341,23,CA                  ,40209,                  ,
179343,41,CA                  ,40325,                  ,
179344,4,CA                  ,40322,                  ,
179345,5,CA                  ,40323,                  ,
179346,16,CA                  ,40322,                  ,
179347,18,CA                  ,40327,                  ,
179348,21,CA                  ,40320,                  ,
179349,27,CA                  ,40327,                  ,
179350,34,CA                  ,40327,                  ,
179351,49,CA                  ,40322,                  ,
179352,50,CA                  ,40322,                  ,
179353,26,CA                  ,40326,                  ,
179354,40,CA                  ,40326,                  ,
179355,22,CA                  ,40330,                  ,
179356,31,CA                  ,40330,                  ,
179357,6,CA                  ,40199,                  ,
179358,8,CA                  ,40117,                  ,
179359,9,CA                  ,40117,                  ,
179360,12,CA                  ,40117,                  ,
179361,15,CA                  ,40118,                  ,
179362,17,CA                  ,40118,                  ,
179363,20,CA                  ,40117,                  ,
179364,24,CA                  ,40118,                  ,
179365,26,CA                  ,40118,                  ,
179366,43,CA                  ,40117,                  ,
179367,7,CA                  ,40121,                  ,
179368,16,CA                  ,40122,                  ,
179369,23,CA                  ,40121,                  ,
179370,40,CA                  ,40122,                  ,
179371,8,CA                  ,40126,                  ,
179375,10,CA                  ,40126,                  ,
179376,32,CA                  ,40125,                  ,
179377,34,CA                  ,40125,                  ,
179378,43,CA                  ,40125,                  ,
179379,45,CA                  ,40126,                  ,
179380,47,CA                  ,40126,                  ,
179381,11,CA                  ,40197,                  ,
179382,14,CA                  ,40197,                  ,
179383,29,CA                  ,40197,                  ,
179384,33,CA                  ,40197,                  ,
179385,36,CA                  ,40197,                  ,
179386,42,CA                  ,40197,                  ,
179387,47,CA                  ,40197,                  ,
179388,19,CA                  ,40205,                  ,
179389,42,CA                  ,40205,                  ,
179390,5,CA                  ,40124,                  ,
179391,18,CA                  ,40124,                  ,
179392,22,CA                  ,40123,                  ,
179393,23,CA                  ,40123,                  ,
179394,19,CA                  ,40328,                  ,
179395,35,CA                  ,40328,                  ,
179396,4,CA                  ,40211,                  ,
179397,15,CA                  ,40207,                  ,
179398,18,CA                  ,40207,                  ,
179399,21,CA                  ,40211,                  ,
179400,30,CA                  ,40207,                  ,
179401,33,CA                  ,40207,                  ,
179402,34,CA                  ,40207,                  ,
179404,39,CA                  ,40207,                  ,
179405,41,CA                  ,40207,                  ,
179406,47,CA                  ,40207,                  ,
179407,9,CA                  ,40076,                  ,
179408,12,CA                  ,40076,                  ,
179409,16,CA                  ,40128,                  ,
179410,22,CA                  ,40128,                  ,
179411,24,CA                  ,40127,                  ,
179412,26,CA                  ,40127,                  ,
179413,29,CA                  ,40127,                  ,
179414,35,CA                  ,40127,                  ,
179415,41,CA                  ,40127,                  ,
179416,48,CA                  ,40127,                  ,
179417,11,CA                  ,40201,                  ,
179418,19,CA                  ,40201,                  ,
179419,9,CA                  ,40324,                  ,
179426,43,CA                  ,40318,                  ,
179427,47,CA                  ,40324,                  ,
179428,48,CA                  ,40318,                  ,
179429,2,CA                  ,40200,                  ,
179430,17,CA                  ,40202,                  ,
179431,44,CA                  ,40200,                  ,
179432,30,CA                  ,40331,                  ,
179433,50,CA                  ,40331,                  ,
179434,23,CA                  ,40203,                  ,
179435,39,CA                  ,40203,                  ,
179436,30,CA                  ,40321,                  ,
179437,32,CA                  ,40321,                  ,
179438,18,CA                  ,40332,                  ,
179439,24,CA                  ,40332,                  ,
179440,36,CA                  ,40332,                  ,
179441,41,CA                  ,40332,                  ,
179442,42,CA                  ,40332,                  ,
179443,47,CA                  ,40332,                  ,
179444,11,CA                  ,40206,                  ,
179445,38,CA                  ,40206,                  ,
179446,23,CA                  ,40344,                  ,
179447,29,CA                  ,40344,                  ,
179448,13,CA                  ,40336,                  ,
179450,17,CA                  ,40329,                  ,
179451,32,CA                  ,40336,                  ,
179452,4,CA                  ,40116,                  ,
179453,28,CA                  ,40116,                  ,
179455,17,CA                  ,40208,                  ,
179456,26,CA                  ,40208,                  ,
179457,3,CA                  ,40119,                  ,
179458,14,CA                  ,40119,                  ,
179459,38,CA                  ,40120,                  ,
179461,11,CA                  ,40343,                  ,
179462,29,CA                  ,40074,                  ,
179463,33,CA                  ,40074,                  ,
179464,17,CA                  ,40346,                  ,
179465,34,CA                  ,40346,                  ,
179466,41,CA                  ,40346,                  ,
179467,42,CA                  ,40346,                  ,
179468,47,CA                  ,40346,                  ,
179469,13,CA                  ,40319,                  ,
179470,35,CA                  ,40319,                  ,
179471,22,CA                  ,40345,                  ,
179472,24,CA                  ,40345,                  ,
179473,28,CA                  ,40345,                  ,
179474,31,CA                  ,40345,                  ,
179475,40,CA                  ,40345,                  ,
179476,46,CA                  ,40345,                  ,
179477,2,CA                  ,40333,                  ,
179478,3,CA                  ,40337,                  ,
179479,5,CA                  ,40333,                  ,
