,DMA Rank,dma,facility_id,Call Sign,Channel,Facility Service,Interference2,population,Volume3,Scaled Volume4,p_open,Move to Low VHF,Move to High VHF,pre_auction_band
1902,151,"Joplin, MO-Pittsburg, KS",18283,KODE-TV,43,DT,112,592111.0,8143,133533,120179700.0,"$90,134,775 ","$48,071,880 ",UHF
1903,151,"Joplin, MO-Pittsburg, KS",51101,KOZJ,25,DT,81,432630.0,5920,97069,87362100.0,"$65,521,575 ","$34,944,840 ",UHF
1904,151,"Joplin, MO-Pittsburg, KS",67766,KSNF,46,DT,93,498728.0,6810,111674,100506600.0,"$75,379,950 ","$40,202,640 ",UHF
1905,152,"Albany, GA",23917,WABW-TV,6,DT,94,1087948.0,10113,165824,37310400.0,,,LVHF
1906,152,"Albany, GA",23930,WACS-TV,8,DT,69,572042.0,6283,103019,55630260.0,"$32,450,985 ",,HVHF
1907,152,"Albany, GA",70713,WALB,10,DT,87,759065.0,8126,133253,71956620.0,"$41,974,695 ",,HVHF
1908,152,"Albany, GA",70815,WFXL,12,DT,89,778806.0,8325,136518,73719720.0,"$43,003,170 ",,HVHF
1909,152,"Albany, GA",63867,WSST-TV,51,DT,89,328056.0,5403,88603,79742700.0,"$59,807,025 ","$31,897,080 ",UHF
1910,152,"Albany, GA",28155,WSWG,43,DT,81,363093.0,5423,88926,80033400.0,"$60,025,050 ","$32,013,360 ",UHF
1911,153,"Rochester, MN-Mason City, IA-Austin, MN",18285,KAAL,36,DT,87,565248.0,7013,114990,103491000.0,"$77,618,250 ","$41,396,400 ",UHF
1912,153,"Rochester, MN-Mason City, IA-Austin, MN",66402,KIMT,42,DT,113,676154.0,8741,143331,128997900.0,"$96,748,425 ","$51,599,160 ",UHF
1913,153,"Rochester, MN-Mason City, IA-Austin, MN",28510,KSMQ-TV,20,DT,72,506986.0,6042,99070,89163000.0,"$66,872,250 ","$35,665,200 ",UHF
1914,153,"Rochester, MN-Mason City, IA-Austin, MN",35678,KTTC,10,DT,102,712963.0,8528,139834,75510360.0,"$44,047,710 ",,HVHF
1915,153,"Rochester, MN-Mason City, IA-Austin, MN",35906,KXLT-TV,46,DT,62,353000.0,4678,76712,69040800.0,"$51,780,600 ","$27,616,320 ",UHF
1916,153,"Rochester, MN-Mason City, IA-Austin, MN",29086,KYIN,18,DT,109,573611.0,7907,129659,116693100.0,"$87,519,825 ","$46,677,240 ",UHF
1917,154,"Panama City, FL ",81594,WBIF,51,DT,59,323268.0,4367,71612,64450800.0,"$48,338,100 ","$25,780,320 ",UHF
1918,154,"Panama City, FL ",4353,WDES-CD,35,DC,59,141754.0,2892,47421,42678900.0,"$32,009,175 ","$17,071,560 ",UHF
1919,154,"Panama City, FL ",6093,WFSG,38,DT,67,358174.0,4899,80327,72294300.0,"$54,220,725 ","$28,917,720 ",UHF
1920,154,"Panama City, FL ",73136,WJHG-TV,18,DT,105,852574.0,9462,155146,139631400.0,"$104,723,550 ","$55,852,560 ",UHF
1921,154,"Panama City, FL ",66398,WMBB,13,DT,98,906515.0,9425,154554,83459160.0,"$48,684,510 ",,HVHF
1922,154,"Panama City, FL ",4354,WPCT,47,DT,47,184018.0,2941,48223,43400700.0,"$32,550,525 ","$17,360,280 ",UHF
1923,154,"Panama City, FL ",4351,WPFN-CD,22,DC,43,164016.0,2656,43547,39192300.0,"$29,394,225 ","$15,676,920 ",UHF
1924,154,"Panama City, FL ",2942,WPGX,9,DT,79,399063.0,5615,92069,49717260.0,"$29,001,735 ",,HVHF
1925,155,"Terre Haute, IN",65247,WAWV-TV,39,DT,131,698358.0,9565,156839,141155100.0,"$105,866,325 ","$56,462,040 ",UHF
1926,155,"Terre Haute, IN",70655,WTHI-TV,10,DT,141,853237.0,10968,179855,97121700.0,"$56,654,325 ",,HVHF
1927,155,"Terre Haute, IN",20426,WTWO,36,DT,137,728886.0,9993,163859,147473100.0,"$110,604,825 ","$58,989,240 ",UHF
1928,155,"Terre Haute, IN",4301,WUSI-TV,19,DT,126,304740.0,6197,101608,91447200.0,"$68,585,400 ","$36,578,880 ",UHF
1929,155,"Terre Haute, IN",4329,WVUT,22,DT,100,271171.0,5207,85389,76850100.0,"$57,637,575 ","$30,740,040 ",UHF
1930,156,"Bangor, ME",17005,WABI-TV,13,DT,31,509232.0,3973,65151,35181540.0,"$20,522,565 ",,HVHF
1931,156,"Bangor, ME",39644,WLBZ,2,DT,34,364346.0,3520,57713,12985425.0,,,LVHF
1932,156,"Bangor, ME",39648,WMEB-TV,9,DT,27,457551.0,3515,57634,31122360.0,"$18,154,710 ",,HVHF
1934,156,"Bangor, ME",3667,WVII-TV,7,DT,25,346780.0,2944,48281,26071740.0,"$15,208,515 ",,HVHF
1935,157,"Wheeling, WV- Steubenville, OH",74122,WTOV-TV,9,DT,171,3589502.0,24775,406251,219375540.0,"$127,969,065 ",,HVHF
1936,157,"Wheeling, WV- Steubenville, OH",6869,WTRF-TV,7,DT,162,2517419.0,20195,331142,178816680.0,"$104,309,730 ",,HVHF
1937,158,"Biloxi-Gulfport, MS",13995,WLOX,39,DT,124,1123460.0,11803,193539,174185100.0,"$130,638,825 ","$69,674,040 ",UHF
1938,158,"Biloxi-Gulfport, MS",43197,WMAH-TV,16,DT,85,1061627.0,9499,155767,140190300.0,"$105,142,725 ","$56,076,120 ",UHF
1939,158,"Biloxi-Gulfport, MS",53517,WXXV-TV,48,DT,83,1024269.0,9220,151191,136071900.0,"$102,053,925 ","$54,428,760 ",UHF
1940,159,"Binghamton, NY",15569,WBGH-CA,20,CA,46,92410.0,2062,33808,30427200.0,"$22,820,400 ","$12,170,880 ",UHF
1941,159,"Binghamton, NY",23337,WBNG-TV,7,DT,146,1055579.0,12414,203564,109924560.0,"$64,122,660 ",,HVHF
