DMA Rank,DMA1,Facility ID,Call Sign,Channel,Facility Service,Interference2,Interference -Free Population,Volume3,Scaled Volume4,Go Off-Air,Move to Low VHF,Move to High VHF
146,"Palm Springs, CA",25577,KESQ-TV,42,DT,29," 484,914 ",3750,61491,"$55,341,900 ","$41,506,425 ","$22,136,760 "
146,"Palm Springs, CA",51656,KEVC-CD,36,DC,27," 427,660 ",3398,55720,"$50,148,000 ","$37,611,000 ","$20,059,200 "
146,"Palm Springs, CA",16749,KMIR-TV,46,DT,67," 507,008 ",5828,95571,"$86,013,900 ","$64,510,425 ","$34,405,560 "
146,"Palm Springs, CA",191793,KPOM-CD,45,DC,88," 2,105,274 ",13611,223190,"$200,871,000 ","$150,653,250 ","$80,348,400 "
146,"Palm Springs, CA",10535,KPSP-CD,38,DC,26," 404,687 ",3244,53189,"$47,870,100 ","$35,902,575 ","$19,148,040 "
146,"Palm Springs, CA",10536,KRET-CD,31,DC,29," 447,415 ",3602,59065,"$53,158,500 ","$39,868,875 ","$21,263,400 "
146,"Palm Springs, CA",69753,KVER-CA,41,DC,24," 435,376 ",3232,53005,"$47,704,500 ","$35,778,375 ","$19,081,800 "
147,"Wichita Falls, TX -Lawton, OK",11034,K20DN-D,20,DC,20," 151,255 ",1739,28520,Not Needed,Not Needed,Not Needed
147,"Wichita Falls, TX -Lawton, OK",168560,K24HH-D,24,DC,19," 151,081 ",1694,27782,Not Needed,Not Needed,Not Needed
147,"Wichita Falls, TX -Lawton, OK",6864,KAUZ-TV,22,DT,59," 379,323 ",4731,77573,"$69,815,700 ","$52,361,775 ","$27,926,280 "
147,"Wichita Falls, TX -Lawton, OK",65370,KFDX-TV,28,DT,66," 381,312 ",5017,82261,"$74,034,900 ","$55,526,175 ","$29,613,960 "
147,"Wichita Falls, TX -Lawton, OK",7675,KJTL,15,DT,33," 372,368 ",3505,57481,"$51,732,900 ","$38,799,675 ","$20,693,160 "
147,"Wichita Falls, TX -Lawton, OK",35645,KSWO-TV,11,DT,63," 449,101 ",5319,87221,"$47,099,340 ","$27,474,615 ",NA
148,"Anchorage, AK",804,KAKM,8,DT,15," 379,105 ",2385,39103,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",787,KCFT-CD,35,DC,21," 284,704 ",2445,40095,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",25221,KDMD,33,DT,20," 372,727 ",2730,44770,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",35655,KTBY,20,DT,19," 346,562 ",2566,42077,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",10173,KTUU-TV,10,DT,15," 379,047 ",2384,39100,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",49632,KTVA,28,DT,19," 342,300 ",2550,41818,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",21488,KYES-TV,5,DT,14," 391,590 ",2341,38394,Not Needed,Not Needed,Not Needed
148,"Anchorage, AK",13815,KYUR,12,DT,15," 379,027 ",2384,39098,Not Needed,Not Needed,Not Needed
149,"Sioux City, IA",11265,KCAU-TV,9,DT,89," 751,805 ",8180,134130,"$72,430,200 ","$42,250,950 ",NA
149,"Sioux City, IA",39665,KMEG,39,DT,81," 694,341 ",7499,122973,"$110,675,700 ","$83,006,775 ","$44,270,280 "
149,"Sioux City, IA",77451,KPTH,49,DT,77," 577,629 ",6669,109358,"$98,422,200 ","$73,816,650 ","$39,368,880 "
149,"Sioux City, IA",29096,KSIN-TV,28,DT,70," 338,662 ",4869,79838,"$71,854,200 ","$53,890,650 ","$28,741,680 "
149,"Sioux City, IA",66170,KTIV,41,DT,84," 682,792 ",7573,124183,"$111,764,700 ","$83,823,525 ","$44,705,880 "
149,"Sioux City, IA",47995,KXNE-TV,19,DT,65," 296,413 ",4389,71975,"$64,777,500 ","$48,583,125 ","$25,911,000 "
150,"Erie, PA",19707,WFXP,22,DT,139," 562,423 ",8842,144983,"$130,484,700 ","$97,863,525 ","$52,193,880 "
150,"Erie, PA",24970,WICU-TV,12,DT,70," 653,888 ",6766,110938,"$59,906,520 ","$34,945,470 ",NA
150,"Erie, PA",65749,WJET-TV,24,DT,167," 664,744 ",10536,172769,"$155,492,100 ","$116,619,075 ","$62,196,840 "
150,"Erie, PA",53716,WQLN,50,DT,129," 559,606 ",8496,139321,"$125,388,900 ","$94,041,675 ","$50,155,560 "
150,"Erie, PA",49711,WSEE-TV,16,DT,148," 523,834 ",8805,144380,"$129,942,000 ","$97,456,500 ","$51,976,800 "
151,"Joplin, MO-Pittsburg, KS",83992,KFJX,13,DT,57," 479,736 ",5229,85747,"$46,303,380 ","$27,010,305 ",NA
151,"Joplin, MO-Pittsburg, KS",58552,KOAM-TV,7,DT,85," 575,509 ",6994,114687,"$61,930,980 ","$36,126,405 ",NA
151,"Joplin, MO-Pittsburg, KS",18283,KODE-TV,43,DT,112," 592,111 ",8143,133533,"$120,179,700 ","$90,134,775 ","$48,071,880 "
151,"Joplin, MO-Pittsburg, KS",51101,KOZJ,25,DT,81," 432,630 ",5920,97069,"$87,362,100 ","$65,521,575 ","$34,944,840 "
151,"Joplin, MO-Pittsburg, KS",67766,KSNF,46,DT,93," 498,728 ",6810,111674,"$100,506,600 ","$75,379,950 ","$40,202,640 "
152,"Albany, GA",23917,WABW-TV,6,DT,94," 1,087,948 ",10113,165824,"$37,310,400 ",NA,NA
152,"Albany, GA",23930,WACS-TV,8,DT,69," 572,042 ",6283,103019,"$55,630,260 ","$32,450,985 ",NA
152,"Albany, GA",70713,WALB,10,DT,87," 759,065 ",8126,133253,"$71,956,620 ","$41,974,695 ",NA
152,"Albany, GA",70815,WFXL,12,DT,89," 778,806 ",8325,136518,"$73,719,720 ","$43,003,170 ",NA
152,"Albany, GA",63867,WSST-TV,51,DT,89," 328,056 ",5403,88603,"$79,742,700 ","$59,807,025 ","$31,897,080 "
152,"Albany, GA",28155,WSWG,43,DT,81," 363,093 ",5423,88926,"$80,033,400 ","$60,025,050 ","$32,013,360 "
153,"Rochester, MN-Mason City, IA-Austin, MN",18285,KAAL,36,DT,87," 565,248 ",7013,114990,"$103,491,000 ","$77,618,250 ","$41,396,400 "
153,"Rochester, MN-Mason City, IA-Austin, MN",66402,KIMT,42,DT,113," 676,154 ",8741,143331,"$128,997,900 ","$96,748,425 ","$51,599,160 "
153,"Rochester, MN-Mason City, IA-Austin, MN",28510,KSMQ-TV,20,DT,72," 506,986 ",6042,99070,"$89,163,000 ","$66,872,250 ","$35,665,200 "
153,"Rochester, MN-Mason City, IA-Austin, MN",35678,KTTC,10,DT,102," 712,963 ",8528,139834,"$75,510,360 ","$44,047,710 ",NA
153,"Rochester, MN-Mason City, IA-Austin, MN",35906,KXLT-TV,46,DT,62," 353,000 ",4678,76712,"$69,040,800 ","$51,780,600 ","$27,616,320 "
153,"Rochester, MN-Mason City, IA-Austin, MN",29086,KYIN,18,DT,109," 573,611 ",7907,129659,"$116,693,100 ","$87,519,825 ","$46,677,240 "
154,"Panama City, FL ",81594,WBIF,51,DT,59," 323,268 ",4367,71612,"$64,450,800 ","$48,338,100 ","$25,780,320 "
154,"Panama City, FL ",4353,WDES-CD,35,DC,59," 141,754 ",2892,47421,"$42,678,900 ","$32,009,175 ","$17,071,560 "
154,"Panama City, FL ",6093,WFSG,38,DT,67," 358,174 ",4899,80327,"$72,294,300 ","$54,220,725 ","$28,917,720 "
154,"Panama City, FL ",73136,WJHG-TV,18,DT,105," 852,574 ",9462,155146,"$139,631,400 ","$104,723,550 ","$55,852,560 "
154,"Panama City, FL ",66398,WMBB,13,DT,98," 906,515 ",9425,154554,"$83,459,160 ","$48,684,510 ",NA
154,"Panama City, FL ",4354,WPCT,47,DT,47," 184,018 ",2941,48223,"$43,400,700 ","$32,550,525 ","$17,360,280 "
154,"Panama City, FL ",4351,WPFN-CD,22,DC,43," 164,016 ",2656,43547,"$39,192,300 ","$29,394,225 ","$15,676,920 "
154,"Panama City, FL ",2942,WPGX,9,DT,79," 399,063 ",5615,92069,"$49,717,260 ","$29,001,735 ",NA
155,"Terre Haute, IN",65247,WAWV-TV,39,DT,131," 698,358 ",9565,156839,"$141,155,100 ","$105,866,325 ","$56,462,040 "
155,"Terre Haute, IN",70655,WTHI-TV,10,DT,141," 853,237 ",10968,179855,"$97,121,700 ","$56,654,325 ",NA
155,"Terre Haute, IN",20426,WTWO,36,DT,137," 728,886 ",9993,163859,"$147,473,100 ","$110,604,825 ","$58,989,240 "
155,"Terre Haute, IN",4301,WUSI-TV,19,DT,126," 304,740 ",6197,101608,"$91,447,200 ","$68,585,400 ","$36,578,880 "
155,"Terre Haute, IN",4329,WVUT,22,DT,100," 271,171 ",5207,85389,"$76,850,100 ","$57,637,575 ","$30,740,040 "
